"","lagoslakeid","lake_waterarea_ha","lake_totalarea_ha","lake_islandarea_ha","lake_perimeter_m","lake_islandperimeter_m","lake_shorelinedevfactor","lake_meanwidth_m","lake_connectivity_class","lake_connectivity_fluctuates","lake_connectivity_permanent","lake_lakes1ha_upstream_ha","lake_lakes4ha_upstream_ha","lake_lakes10ha_upstream_ha","lake_lakes1ha_upstream_n","lake_lakes4ha_upstream_n","lake_lakes10ha_upstream_n","lake_elevation_m","ws_subtype","ws_focallakewaterarea_ha","ws_area_ha","ws_perimeter_m","ws_lake_arearatio","Type","Site","combined_connectivity_class","X.y","max_temp_degc","min_temp_degc","mean_temp_degc","climate8110norm_ppt_mmperyr","lakes1ha_all_ha","lakes1ha_all_n","lakes1ha_all_nperha","lakes1ha_all_pct","streams_all_mperha","roads_mperha","area_ha","perimeter_m","soil_clay_pct","soil_coarse_pct","soil_depthtobedrock_cm","soil_kffact","soil_orgcarbon_gperkg","soil_sand_pct","soil_silt_pct","elevation_max_m","elevation_mean_m","elevation_min_m","elevation_sd_m","reliefratio","topographicwetness","tri_m","nlcd_fordec41_pct","nlcd_forcon42_pct","nlcd_formix43_pct","nlcd_wetwood90_pct","nlcd_wetemerg95_pct"
"11",21441,77.3321865111,77.3321865111,0,7268.58091354,0,2.3316563986,419.508973179,"Drainage","N","Drainage",7.581512,6.207376,0,2,1,0,524,"DWS",77.33219,1307.684,36381.86,16.90996,"control","Mitawan Lake","Drainage",11,9.25713253,-2.915958166,3.170587301,755.759,9.8266127483,5,0.0038235523,0.7514513529,4.9698161009,14.9568925,1307.684485,36381.86304,11.6549364614,20.9851975981,1772.12323698,0.1800000072,218.773914258,52.1605222734,36.172392124,598.0950553044,553.2719608438,526.500936218,16.6387146034,0.3739277048,11.7346795981,2.3118879149,1.4993122421,43.7689133425,35.0275103164,11.9188445667,0.5502063274
"12",27717,41.0188793254,43.0388163576,2.0199370322,4457.010746,890.732288361,1.9631200504,NA,"Headwater","N","Headwater",0,0,0,0,0,0,529.099975586,"LC",41.01888,139.6248,12849.07,3.403917,"sample","Middle McDougal","Isolated",12,9.259171486,-2.956948757,3.151111126,751.286,0,0,0,0,0.0332453998,42.5405153,139.6248458,12849.06866,13.0256959315,21.8329764454,1605.55960029,0.1800000072,250.63668808,52.9172019986,33.9850107066,558.3145141602,536.7936723246,529.0520019531,8.1389392134,0.2645593214,12.7113125617,1.2570271614,1.6741790084,31.4230521571,29.1693496458,27.3019961365,0.4507405023
"13",29814,1.072353568,1.072353568,0,402.81894803,0,1.0973262366,NA,"Isolated","N","Isolated",0,0,0,0,0,0,525.400024414,"LC",1.072354,851.9476,21842.82,794.4652,"sample","Teamster Lake","Isolated",13,9.269451141,-2.942255974,3.163597345,749.705,0,0,0,0,0,14.4447969,851.9476363,21842.81957,10.6927143915,20.3555038596,1960.96510521,0.1876874329,209.469176272,54.1742624511,35.1179020831,568.4282226563,541.0898443244,525.3500366211,6.5959350283,0.3653776807,13.0612377274,1.197958997,1.2689013429,29.8826266258,14.5817912657,46.3466215502,0.5075605372
"14",30871,18.0521540245,18.0521540245,0,2036.7307663,0,1.3522723291,255.383624326,"DrainageLk","N","DrainageLk",31.81168,31.81168,31.81168,1,1,1,511.700012207,"IDWS",18.05215,158.8878,12736.73,8.8016,"control","Two Deer Lake","Drainage",14,9.314097405,-2.945139647,3.18447876,742.825,0,0,0,0,7.6029669734,14.2868517,158.8878466,12736.73047,11.3294596165,17.1783846601,1560.91748983,0.1800000072,207.901220221,54.3259732714,34.4073213248,532.8830566406,519.0396508706,511.6900024414,5.1463556674,0.3467951509,12.749881543,2.6363317386,12.6840317101,13.986409966,34.711211778,33.2389580974,0
"15",37142,42.0767302373,42.0767302373,0,4029.45327759,0,1.7523473725,322.301315929,"Isolated","N","Isolated",0,0,0,0,0,0,575.099975586,"LC",42.07673,239.6533,16529.45,5.695625,"control","Eighteen Lake","Isolated",15,9.182191849,-2.813802242,3.184194803,764.333,0,0,0,0,0,19.2948767,239.65326,16529.45233,12.4431955038,25.6684062625,1918.74909675,0.1800000072,251.295865114,51.5403452429,35.8795664392,608.1702880859,587.2912980703,574.0390014648,8.2526110893,0.3882741589,11.6528174516,2.4029826206,4.9981210071,38.7072529124,40.5862457723,6.0127771514,0.0375798572
"16",38199,104.903801138,105.552589467,0.648788329,7710.18648148,330.913066864,2.1235590088,NA,"DrainageLk","N","DrainageLk",200,196.8,179.2,8,7,4,528.900024414,"IDWS",104.9038,1060.816,40957.84,10.11227,"sample","North McDougal","Drainage",16,9.267151833,-2.954395056,3.156378269,750.109,5.146035596,5,0.0047133533,0.4851016819,6.5502821001,11.2502085,1060.815856,40957.83711,12.3901779484,19.837927425,1797.60894976,0.1784461309,218.596127006,52.4371074669,35.1924284717,569.4918834644,542.535276496,528.9012051025,10.190677532,0.3358916861,13.6011328749,1.3360271715,2.9803854972,21.015538762,18.3493249554,46.8795109111,0.4924853528
"17",50749,101.093534306,101.093534306,0,14730.3123474,0,4.1328089464,NA,"DrainageLk","N","DrainageLk",762.4,755.6,755.6,7,3,3,516.599975586,"IDWS",101.0935,5907.12,90460.36,58.43223,"sample","Stony Lake","Drainage",17,9.295615196,-2.981711626,3.156951666,743.407,2.9370981854,5,0.0008464361,0.0497213213,3.7324728939,5.2708018,5907.120147,90460.36352,11.2228706745,18.7627683141,1927.0275762,0.1752904937,222.107692308,53.5921625544,35.1691696585,566.5539865475,535.6540762943,519.2740725117,7.8535037774,0.3464474104,13.635378221,0.8209629456,0.8090688851,22.6341210708,9.9480428456,60.9330956408,1.4810074507
"18",57275,73.6921370911,73.6921370911,0,5030.65824509,0,1.6531387493,451.79789472,"DrainageLk","N","DrainageLk",27.3,27.3,27.3,1,1,1,584.099975586,"IDWS",73.69213709,517.2789761,24638.03638,7.019459558,"control","Cloquet Lake","Drainage",18,9.18781662,-2.71326685,3.237275124,789.095,0,0,0,0,3.6467839627,15.2558228,517.2789761,24638.03638,11.6546455854,20.7997868183,2719.04814354,0.2094052181,222.612719844,54.397050986,33.9157932137,629.5620727539,592.6643938094,584.1499633789,6.6574153518,0.1874925113,12.8772425516,1.0788159961,0.2260869565,10.0695652174,33.547826087,52.7826086957,0.1391304348
"19",58010,28.6947844415,28.8693091982,0.1745247567,4495.8987236,331.777572632,2.3676096892,242.669276158,"DrainageLk","N","DrainageLk",84.913698,83.539562,77.332186,3,2,1,524,"IDWS",28.69478,68.50347,10541.86,2.387314,"control","Kitigan Lake","Drainage",19,9.285740852,-2.943542481,3.171098948,752.332,0,0,0,0,0,33.9976526,68.50346699,10541.85556,12.2578397213,20.7926829268,1474.57839721,0.1800000072,244.580139373,52.7386759582,34.9703832753,539.71875,528.8023181392,517.9071044922,3.6656705009,0.4995136036,11.8297507579,2.6049720818,0,46.5359477124,34.2483660131,8.2352941176,0.1307189542
"20",59050,5.988131053,5.988131053,0,1068.19403172,0,1.2314012767,160.181402315,"Isolated","N","Isolated",0,0,0,0,0,0,507.399993897,"LC",5.988131,49.49187,5468.194,8.264994,"control","Gypsy Lake","Isolated",20,9.341775894,-2.927977085,3.206899881,738.361,0,0,0,0,0,30.0306905,49.49186876,5468.193892,16.0769230769,14.2271062271,1590.09340659,0.1800000072,192.743589744,47.6245421245,36.4688644689,524.0696411133,510.3964655567,506.3479003906,2.7583175076,0.2284518902,11.9473998844,2.0612381395,20.4339963834,1.2658227848,11.9349005425,56.7811934901,0
"21",66287,3.1877223768,3.1877223768,0,755.395293236,0,1.193518346,NA,"Isolated","N","Isolated",0,0,0,0,0,0,512.799987793,"LC",3.187722,165.0523,9215.395,51.77749,"sample","Lil Chub Lake","Isolated",21,9.313948631,-2.934430122,3.189759255,741.009,0,0,0,0,0,28.1465956,165.0522679,9215.395455,11.3324220886,20.5565882996,2214.26845271,0.1800000072,233.324767633,52.9103335156,35.6161837069,531.5475463867,517.5682447297,511.841217041,3.5834280977,0.2906186935,12.8076615352,1.7545779776,0.0546746856,62.1651175506,2.7884089666,28.0481137233,0
"22",66295,110.596578277,111.120133212,0.5235549344,6967.06342697,423.264503479,1.8688480259,NA,"Drainage","N","Drainage",0,0,0,0,0,0,529.099975586,"DWS",110.5966,3443.201,55651.44,31.13298,"sample","South McDougal","Drainage",22,9.251486778,-2.951146364,3.150170088,751.538,0,0,0,0,3.6565026349,3.6368184,3443.200552,55651.44268,11.0799905368,20.3501393197,2139.78718259,0.1430990897,219.450134062,55.0400346985,33.876662636,615.5186767578,556.8627764294,529.0999755859,15.468046165,0.3212591773,13.3153044678,0.8161502495,0.7869281046,14.3006535948,20.4052287582,59.568627451,0.6117647059
"23",73430,55.6139330659,55.8113813746,0.1974483088,4425.90761185,226.21011734,1.6741933339,NA,"Isolated","N","Isolated",0,0,0,0,0,0,518.099975586,"LC",55.61393,101.2286,12365.91,1.820203,"sample","Wampus Lake","Isolated",23,9.30290699,-2.956474304,3.173216343,742.626,0,0,0,0,0,43.3928569,101.2286209,12365.90832,12.770212766,21.1478723404,1937.7212766,0.1800000072,239.637234043,51.7414893617,35.5734042553,537.9831542969,522.1661970634,518.1099243164,3.6884679197,0.2041073721,12.0476171914,2.1650394917,1.5859030837,45.7268722467,8.7224669604,30.6607929515,0
"24",102493,16.0162208567,16.0968809889,0.0806601322,2728.66773605,108.085155487,1.9233827355,185.011327758,"Drainage","N","Drainage",8.301213,7.292999,0,2,1,0,519.900024414,"DWS",16.01622,305.9931,17568.67,19.1052,"control","Wadop Lake","Drainage",24,9.277695656,-2.934056282,3.171819925,748.251,8.3012123927,3,0.0098041419,2.712875482,5.2021997643,5.6869946,305.9931269,17568.66786,10.7667450059,19.0417156287,1672.15951821,0.1800000072,206.689482961,53.4048178613,35.7720329025,546.4644131151,528.437159071,520.3931840836,4.7898044187,0.3085383883,12.1712292056,2.3070749672,7.8437132785,23.9717978848,24.794359577,31.9623971798,0.1175088132
"25",113774,59.0772630974,59.6685209559,0.5912578585,8025.82263947,448.658943176,2.9456046126,NA,"Drainage","N","Drainage",0,0,0,0,0,0,542.599975586,"DWS",59.07726,2842.151,44724.53,48.10906,"sample","Lake Gegoka","Drainage",25,9.241625786,-2.909225702,3.166200161,755.958,0,0,0,0,2.7167454863,7.274003,2842.151458,44724.52549,12.0809575211,19.4611721379,1895.59772049,0.144634559,222.886945203,50.617626516,37.3272271255,631.8474121094,562.0801867002,539.5,16.427944288,0.2445134756,12.7579038337,1.0488732062,0.9690290709,21.9899930331,23.5290392045,46.0763822915,0.3958452087
"26",121215,20.2932804743,20.2932804743,0,2911.49663925,0,1.8232038602,184.313655351,"DrainageLk","N","DrainageLk",59.077264,59.077264,59.077264,1,1,1,538.599975586,"IDWS",20.29328,4831.962,68153.52,238.1065,"control","Flathorn Lake","Drainage",26,9.243209839,-2.910712719,3.166248798,756.844,1.3457803619,3,0.0006208659,0.0278516361,4.9170335295,14.8092409,4831.961609,68153.51637,12.6109031309,21.739509415,2248.43673986,0.1809860177,228.292376748,50.9356502952,36.4338715986,627.4923853041,595.7569207542,538.4198567713,15.6285320592,0.6437120954,12.5601978771,1.3915376564,0.4488648004,22.130338418,30.2564675644,39.1667132294,0.5717904304
"27",127093,3.2048275287,3.2048275287,0,800.503909588,0,1.2614098212,128.037485584,"DrainageLk","N","DrainageLk",79.370544,79.370544,79.370544,2,2,2,534.299987793,"IDWS",3.204828,35.83367,4783.385,11.18115,"control","Rat Lake","Drainage",27,9.25091362,-2.916113615,3.167400122,756.027,0,0,0,0,7.605318709,44.7684163,35.83367042,4783.384633,10.3618090452,22.1859296482,1900.85929648,0.1800000072,215.876884422,53.1557788945,36.4824120603,554.9625854492,543.4903901833,534.2919921875,4.536523575,0.4449992257,11.432797777,2.8569369511,0,39.9497487437,44.2211055276,3.2663316583,0
"28",133329,46.3189382533,46.3189382533,0,3851.22537613,0,1.596300683,NA,"DrainageLk","N","DrainageLk",40.9,37,37,3,2,2,512.5,"IDWS",46.31894,134.6791,14530.94,2.907646,"sample","West Chub Lake","Drainage",28,9.318548203,-2.930206776,3.194170475,740.307,3.8927055276,4,0.0297002322,2.8903564493,12.7276854311,6.9180099,134.6790786,14530.94094,12.9650249822,19.0563882941,1674.73019272,0.1800000072,260.400428266,51.8872234118,35.0635260528,533.4721063666,516.0941115128,512.1900024414,3.6934772147,0.1834456351,12.9356299719,2.1052239502,1.1944260119,20.4379562044,20.9688122097,44.0610484406,0.9289980093
"29",139473,12.5903208248,12.5903208248,0,1444.15462017,0,1.1481280696,214.027833566,"Isolated","N","Isolated",0,0,0,0,0,0,489.799987793,"LC",12.59032,39.45968,5724.155,3.134128,"control","Baird Lake","Isolated",29,9.374008179,-2.994616509,3.189695835,736.379,0,0,0,0,0,0,39.45967661,5724.154878,11.1525423729,18.2663438257,958.493946731,0.1800000072,211.474576271,54.2251815981,34.6319612591,502.0237731934,493.6370986556,488.7755432129,3.0661639431,0.3669588654,11.3210723894,1.6745895014,0,62.4145785877,18.9066059226,16.6287015945,0.2277904328
